County,State,Latitude - County,Longitude - County
York,VA,37.2317,-76.5476
Wythe,VA,36.9145,-81.0571
Wise,VA,37.0011,-82.6307
Westmoreland,VA,38.122,-76.9656
Washington,VA,36.7615,-81.9556
Warren,VA,38.8968,-78.1977
Virginia Beach city,VA,36.7411,-76.0335
Tazewell,VA,37.1358,-81.6058
Sussex,VA,36.9125,-77.2851
Surry,VA,37.0936,-76.8952
Suffolk city,VA,36.7317,-76.6221
Stafford,VA,38.4174,-77.4766
Spotsylvania,VA,38.1861,-77.6566
Southampton,VA,36.7705,-77.0963
Smyth,VA,36.823,-81.5102
Shenandoah,VA,38.8538,-78.5869
Scott,VA,36.7396,-82.5828
Russell,VA,36.9262,-82.0747
Rockingham,VA,38.5292,-78.9401
Rockbridge,VA,37.8101,-79.4404
Roanoke,VA,37.2655,-80.1509
Richmond,VA,37.9603,-76.7345
Rappahannock,VA,38.6922,-78.1291
Pulaski,VA,37.0622,-80.7281
Prince William,VA,38.7221,-77.4444
Prince George,VA,37.1589,-77.2486
Prince Edward,VA,37.2386,-78.4589
Powhatan,VA,37.5527,-77.8872
Pittsylvania,VA,36.8385,-79.3957
Patrick,VA,36.7075,-80.274
Page,VA,38.6265,-78.4806
Orange,VA,38.2553,-77.9908
Nottoway,VA,37.1384,-78.0695
Northumberland,VA,37.8565,-76.4533
Northampton,VA,37.336,-75.9575
Newport News city,VA,37.0899,-76.4907
New Kent,VA,37.5016,-76.9992
Nelson,VA,37.7921,-78.9043
Montgomery,VA,37.1748,-80.3743
Middlesex,VA,37.6405,-76.6329
Mecklenburg,VA,36.7165,-78.3332
Mathews,VA,37.4196,-76.2904
Madison,VA,38.429,-78.2789
Lunenburg,VA,36.9432,-78.2456
Louisa,VA,37.941,-77.934
Loudoun,VA,39.0858,-77.6642
Lee,VA,36.7435,-82.9795
Lancaster,VA,37.7254,-76.4625
King William,VA,37.7166,-77.1211
King George,VA,38.2712,-77.1806
King And Queen,VA,37.7066,-76.8602
James City,VA,37.3128,-76.8041
Isle Of Wight,VA,36.8934,-76.6913
Highland,VA,38.3866,-79.5178
Henry,VA,36.6989,-79.9864
Henrico,VA,37.5317,-77.3031
Hanover,VA,37.7717,-77.5521
Hampton city,VA,37.0509,-76.407
Halifax,VA,36.803,-78.9171
Greensville,VA,36.7217,-77.5729
Greene,VA,38.3303,-78.4797
Grayson,VA,36.6833,-81.2368
Goochland,VA,37.7345,-77.9668
Gloucester,VA,37.4244,-76.5714
Giles,VA,37.3145,-80.668
Frederick,VA,39.2372,-78.2234
Franklin,VA,37.0076,-79.8606
Fluvanna,VA,37.8456,-78.2738
Floyd,VA,36.9111,-80.4084
Fauquier,VA,38.7121,-77.8162
Fairfax,VA,38.8316,-77.3234
Essex,VA,37.9457,-76.9732
Dinwiddie,VA,37.0729,-77.6462
Dickenson,VA,37.1314,-82.361
Cumberland,VA,37.526,-78.2218
Culpeper,VA,38.5056,-78.0018
Craig,VA,37.4878,-80.1897
Clarke,VA,39.1225,-77.9705
Chesterfield,VA,37.3899,-77.6298
Chesapeake city,VA,36.7083,-76.2763
Charlotte,VA,36.9742,-78.6045
Charles City,VA,37.3618,-77.0793
Carroll,VA,36.7464,-80.7437
Caroline,VA,38.0149,-77.3703
Campbell,VA,37.2284,-79.0965
Buckingham,VA,37.5633,-78.5588
Buchanan,VA,37.2884,-82.0618
Brunswick,VA,36.7851,-77.8417
Botetourt,VA,37.5543,-79.7551
Bland,VA,37.1272,-81.0776
Bedford,VA,37.3125,-79.5652
Bath,VA,38.0555,-79.7352
Augusta,VA,38.1803,-79.3064
Appomattox,VA,37.3799,-78.7934
Amherst,VA,37.6,-79.1631
Amelia,VA,37.3461,-78.0427
Alleghany,VA,37.7788,-80.1069
Albemarle,VA,38.0006,-78.5618
Accomack,VA,37.7449,-75.6727
Wilson,TN,36.153,-86.3215
Williamson,TN,35.8732,-86.9151
White,TN,35.9357,-85.4543
Weakley,TN,36.2879,-88.74
Wayne,TN,35.2527,-87.7805
Washington,TN,36.2721,-82.4879
Warren,TN,35.6737,-85.7944
Van Buren,TN,35.6687,-85.4578
Union,TN,36.2996,-83.8313
Unicoi,TN,36.1074,-82.474
Trousdale,TN,36.3909,-86.1402
Tipton,TN,35.5119,-89.7605
Sumner,TN,36.4488,-86.4726
Sullivan,TN,36.5041,-82.3115
Stewart,TN,36.5021,-87.8332
Smith,TN,36.2544,-85.9737
Shelby,TN,35.2037,-89.8653
Sevier,TN,35.8034,-83.5126
Sequatchie,TN,35.358,-85.3691
Scott,TN,36.3837,-84.5112
Rutherford,TN,35.8599,-86.3934
Robertson,TN,36.5003,-86.8818
Roane,TN,35.8471,-84.5457
Rhea,TN,35.6177,-84.9146
Putnam,TN,36.1421,-85.458
Polk,TN,35.1357,-84.511
Pickett,TN,36.5158,-85.1514
Perry,TN,35.6326,-87.8588
Overton,TN,36.3423,-85.3089
Obion,TN,36.3627,-89.1733
Morgan,TN,36.1431,-84.6653
Moore,TN,35.2676,-86.3609
Montgomery,TN,36.477,-87.37
Monroe,TN,35.4386,-84.2156
Meigs,TN,35.5206,-84.8014
McNairy,TN,35.1939,-88.5778
McMinn,TN,35.4432,-84.6183
Maury,TN,35.6297,-87.0804
Marshall,TN,35.484,-86.778
Marion,TN,35.1518,-85.6252
Madison,TN,35.6097,-88.8422
Macon,TN,36.5267,-86.0142
Loudon,TN,35.7566,-84.2886
Lincoln,TN,35.1805,-86.6012
Lewis,TN,35.5284,-87.4866
Lawrence,TN,35.2321,-87.3986
Lauderdale,TN,35.7431,-89.649
Lake,TN,36.3439,-89.4636
Knox,TN,35.9904,-83.8971
Johnson,TN,36.4379,-81.852
Jefferson,TN,36.0438,-83.4658
Jackson,TN,36.3639,-85.6655
Humphreys,TN,36.0246,-87.7738
Houston,TN,36.2734,-87.7325
Hickman,TN,35.8058,-87.4715
Henry,TN,36.3112,-88.3117
Henderson,TN,35.6209,-88.4005
Haywood,TN,35.6097,-89.2708
Hawkins,TN,36.4187,-82.9469
Hardin,TN,35.2025,-88.1772
Hardeman,TN,35.2109,-88.9869
Hancock,TN,36.4929,-83.2626
Hamilton,TN,35.2216,-85.1533
Hamblen,TN,36.2136,-83.2706
Grundy,TN,35.3737,-85.6861
Greene,TN,36.171,-82.9074
Grainger,TN,36.2508,-83.5495
Giles,TN,35.2244,-87.0214
Gibson,TN,36.0073,-88.9462
Franklin,TN,35.1755,-86.0823
Fentress,TN,36.3575,-84.9266
Fayette,TN,35.2022,-89.4141
Dyer,TN,36.0492,-89.4236
Dickson,TN,36.1462,-87.3611
DeKalb,TN,35.977,-85.8391
Decatur,TN,35.6152,-88.1124
Davidson,TN,36.1844,-86.7808
Cumberland,TN,35.9474,-84.9777
Crockett,TN,35.8359,-89.1825
Coffee,TN,35.4971,-86.0606
Cocke,TN,35.9497,-83.0951
Clay,TN,36.5157,-85.5343
Claiborne,TN,36.4668,-83.6559
Chester,TN,35.4232,-88.6014
Cheatham,TN,36.2485,-87.0841
Carter,TN,36.3073,-82.1558
Carroll,TN,35.9663,-88.4557
Cannon,TN,35.8086,-86.0519
Campbell,TN,36.3853,-84.1333
Bradley,TN,35.1731,-84.8524
Blount,TN,35.6773,-83.9095
Bledsoe,TN,35.5632,-85.2671
Benton,TN,36.0868,-88.0829
Bedford,TN,35.5134,-86.4509
Anderson,TN,36.1062,-84.2281
York,SC,34.9926,-81.1884
Williamsburg,SC,33.598,-79.7441
Union,SC,34.6789,-81.6396
Sumter,SC,33.9067,-80.3414
Spartanburg,SC,34.8864,-81.9815
Saluda,SC,34.0012,-81.7467
